t ω_g β v_dc err_v i_f_ref_d v_w m_m_ref
0.0 1.5125837575688752 0.0 18769.23718848238 -13369.237188482382 -983.633681428322 12.809621732333866 -636300.0
0.1 1.52382224261704 0.0 3241.1777759512165 2158.8222240487835 1643.142372803474 12.469580095758008 -647020.8415713811
0.2 1.5283699200795278 0.0 5199.20600551638 200.79399448361985 444.88301157936917 10.587355454510671 -656671.2794223034
0.30000000000000004 1.5418569333799925 0.0 5521.831571174077 -121.83157117407683 531.4070417025887 13.313646371980045 -660596.6524443835
0.4 1.5451024412971008 0.0 5394.924023605089 5.0759763949104615 575.9115771399685 10.298860382488321 -672306.8886917807
0.5 1.5539656176486465 0.0 5398.17498969158 1.8250103084204703 571.1879236239619 11.940441571673063 -675140.1915001194
0.6 1.5602588176619527 0.0 5406.865020048877 -6.865020048877205 580.0869325020597 11.229224228268713 -682908.0250278946
0.7 1.5706603022851926 0.0 5404.024207605354 -4.0242076053537215 588.6678095187269 12.50942018052473 -688450.4630843821
0.7999999999999999 1.5771892298053838 0.0 5406.305265735322 -6.3052657353222195 599.2581929644658 11.383966480618627 -697660.1864473805
0.8999999999999999 1.5870378458440042 0.0 5404.040080573282 -4.040080573281884 607.6240991639967 12.440081538403097 -703472.3150784675
0.9999999999999999 1.5929422389033503 0.0 5406.043253180168 -6.043253180168055 617.852037057925 11.283561463475234 -712285.2843071249
1.0999999999999999 1.6049923667657549 0.0 5404.080744330105 -4.080744330104994 626.1641451674342 13.297739174925036 -717595.0953492279
1.2 1.6147893763017207 0.0 5408.166328870919 -8.16632887091867 639.400738142523 12.603423685852741 -728492.9406580287
1.3 1.6252704276370098 0.0 5406.1905815088685 -6.190581508868716 651.5857909297886 12.902848301811462 -737413.6495922194
1.4000000000000001 1.6302910113776035 0.0 5406.181790637625 -6.181790637625083 662.9207404979627 11.215147219123253 -747017.3207226527
1.5000000000000002 1.6372397893431911 0.0 5402.896169933657 -2.896169933656648 669.622523164838 11.838424047466091 -751639.6354869907
1.6000000000000003 1.645844064750555 0.0 5405.108314386672 -5.108314386671859 678.0481141875291 12.416376895498026 -758060.7073442542
1.7000000000000004 1.6565568107483803 0.0 5406.340177545171 -6.340177545171627 689.1473496486245 13.213216974634925 -766049.3994522251
1.8000000000000005 1.6658757906211346 0.0 5407.363151765549 -7.363151765549044 702.210265765436 12.789774678100407 -776054.2361345799
1.9000000000000006 1.677264342038413 0.0 5406.5215546081545 -6.521554608154404 714.5211125569184 13.632280511464938 -784810.1999571025
2.0000000000000004 1.6838759095746885 0.0 5407.520963026571 -7.520963026570948 727.8832886152143 12.00623040402698 -795577.3923452002
2.1000000000000005 1.6921568897741082 0.0 5404.2485298771735 -4.248529877173331 737.0583555354178 12.613473284864074 -801861.8886976443
2.2000000000000006 1.6964066066815828 0.0 5405.49932955298 -5.499329552980567 746.6082875434889 11.329206775477507 -809768.0889217033
2.3000000000000007 1.705562567784043 0.0 5403.2309440669505 -3.230944066950947 753.4924034642866 13.016583275022912 -813840.5321045584
2.400000000000001 1.7161739778101557 0.0 5407.495800849578 -7.495800849577497 765.4239071457284 13.654574631042292 -822649.2706186605
2.500000000000001 1.7277218770554155 0.0 5408.116376385298 -8.11637638529789 780.0381010328341 14.152845398503374 -832917.5829334809
