t ω_g β v_dc err_v i_f_ref_d v_w m_m_ref
0.0 1.5032827811889449 0.0 18768.745158207403 -13368.745158207403 -984.3269520857659 10.13042550861253 -636300.0
0.1 1.5183929504988576 0.0 3234.9516861914217 2165.0483138085783 1633.4679208378877 13.690283854714002 -639088.159197981
0.2 1.5231715412319389 0.0 5203.533950548153 196.46604945184674 438.66677210539825 10.62763923322912 -652000.2506208443
0.30000000000000004 1.5323021951171907 0.0 5520.7196064590125 -120.71960645901243 525.4590926385638 11.895811256919197 -656110.5766485393
0.4 1.5429087309039424 0.0 5393.127312144795 6.872687855205159 566.9605885892009 12.397229893671689 -664000.2648531199
0.5 1.5503258007384644 0.0 5402.851718927162 -2.8517189271627803 568.0646409069664 11.499692409443133 -673224.447117211
0.6 1.5632063181900118 0.0 5405.967268374332 -5.967268374331794 577.6816508715169 13.26867834596003 -679712.65300952
0.7 1.5757426220732254 0.0 5408.36327349597 -8.363273495969905 591.9956250180552 13.245063779758807 -691054.0372852099
0.7999999999999999 1.5868496823906098 0.0 5407.505897091353 -7.505897091353249 606.1174619820633 12.844057607216067 -702182.448555948
0.8999999999999999 1.5904627811981407 0.0 5405.787231923426 -5.787231923425352 617.4541721289033 10.607724991870091 -712116.3934214991
0.9999999999999999 1.6023622823851422 0.0 5402.445918018091 -2.445918018091153 623.3542569519262 13.224746859977822 -715362.9215488812
1.0999999999999999 1.6094715401997 0.0 5408.0045684114 -8.0045684114 635.6697630832596 11.730047850462935 -726107.3491981756
1.2 1.6151499741469764 0.0 5403.8295754422425 -3.829575442242362 644.4595718878127 11.332334758168722 -732564.7350279782
1.3 1.6248827415966993 0.0 5403.996474265652 -3.9964742656516945 651.7143441156267 12.649485110585932 -737743.0293455175
1.4000000000000001 1.6320484555933368 0.0 5406.597017005654 -6.597017005654101 662.7040461652296 11.875651770012546 -746660.9816898943
1.5000000000000002 1.6372383529429622 0.0 5404.143922281739 -4.143922281738627 671.3399678705966 11.302131366294002 -753261.0352452197
1.6000000000000003 1.649911174102715 0.0 5404.214781468028 -4.214781468028407 679.0356180065058 13.903356104842407 -758059.3772054401
1.7000000000000004 1.6527789291121948 0.0 5408.18806416452 -8.188064164520622 692.3596677567593 10.684094414322765 -769840.1063509211
1.8000000000000005 1.6623773120467626 0.0 5401.598625374654 -1.5986253746538974 698.0838701154034 12.861746040478303 -772518.5917126792
1.9000000000000006 1.665138641817815 0.0 5406.461198236234 -6.46119823623403 707.8655155891105 10.712136068593328 -781517.3270474914
2.0000000000000004 1.6702283635983246 0.0 5401.377565819249 -1.377565819249195 712.5460538805958 11.448155596955816 -784115.7977630952
2.1000000000000005 1.6757675105144072 0.0 5403.8557807027455 -3.855780702745717 718.5629367981262 11.61856140046514 -788916.6360415259
2.2000000000000006 1.6856352591404604 0.0 5404.603875752883 -4.603875752883584 726.6846487519032 13.126723146431912 -794158.0407008108
2.3000000000000007 1.6979264922210016 0.0 5407.884507129434 -7.884507129433264 739.7459626164974 14.190634632833474 -803538.3689553087
2.400000000000001 1.7007585585425777 0.0 5407.702939390052 -7.7029393900519025 753.9424352399601 10.911562600452521 -815299.4966804167
2.500000000000001 1.7058295686008509 0.0 5401.00121169513 -1.0012116951299685 758.6191888197802 11.640740956225692 -818021.5319361078
2.600000000000001 1.7105250546844746 0.0 5403.911301814901 -3.9113018149013667 764.5547268357116 11.547654355617848 -822906.8574395465
2.700000000000001 1.7131151883149422 0.0 5403.098138980271 -3.098138980270571 770.578396628431 10.899599854550218 -827443.3782525002
2.800000000000001 1.7142768879334722 0.0 5401.3365204285565 -1.3365204285561396 773.7751648399013 10.460820997925774 -829951.1597775142
2.9000000000000012 1.7171080129988325 0.0 5400.899113302788 -0.8991133027878087 775.6087001452372 10.995489119589038 -831077.1562766118
3.0000000000000013 1.726379192575478 0.0 5403.308450353637 -3.3084503536377445 780.6515307338949 13.216595760733556 -833824.4677245972
3.1000000000000014 1.731692753385775 0.0 5407.167659997035 -7.167659997034907 792.1535466196594 11.870351611741883 -842852.9109624777
3.2000000000000015 1.735005584028834 0.0 5403.040515939014 -3.0405159390141243 799.4767214164731 11.242694155686829 -848049.2692140265
3.3000000000000016 1.7387645268827199 0.0 5402.203031860799 -2.203031860798376 803.8699720664799 11.406153184448677 -851297.1097056575
3.4000000000000017 1.7393320499117235 0.0 5402.416530381564 -2.416530381564472 808.2089488830827 10.396477436138749 -854989.8282086408
3.5000000000000018 1.7477170110629383 0.0 5401.182298369815 -1.182298369814712 810.8994161679351 13.046677837456741 -855548.0471016134
3.600000000000002 1.7547130555399872 0.0 5407.270276900788 -7.270276900788368 821.6445308299475 12.591435838524367 -863816.7715145804
3.700000000000002 1.7624661107137052 0.0 5405.258859421186 -5.258859421185486 832.136861160332 12.921183848133131 -870746.2641794849
3.800000000000002 1.7731655808058597 0.0 5406.47971671185 -6.479716711850607 843.4965384019121 14.216210298735136 -878457.9046119625
3.900000000000002 1.7807827723253362 0.0 5408.272611834316 -8.272611834316558 857.9000483622889 13.006611275870608 -889156.0548427558
4.000000000000002 1.7825377823404878 0.0 5404.522543088786 -4.522543088785428 867.7798989921376 10.997841731259342 -896811.7634091888
